plateNumber,plateState,plateCountry,plateType,domestic,yearOfRegistration,vehicleMake,vehicleModel,vehicleColor,vehicleClass,tollingMethod,hasTag,tagAgencyId,tagId,item_type,tag_type,mounting,tag_delivery_method,tag_alias_name,shippingAddress
GE 8346,TN,USA,PERSONAL,True,2017,Ford,F-150,Red,2 Axle,TAG,True,AGN520,TAG6470,STICKER_TAG,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Ricky,"56630 Ray Knolls, Christopherburgh, CO 40879"
RH 2962,AL,USA,ELECTRIC,False,2000,Volkswagen,Jetta,White,2 Axle,TAG,True,AGN698,TAG8051,LICENSE_PLATE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Randy,"95646 Billy Circle, West Danielport, CO 37984"
MA 9725,FL,USA,PERSONAL,True,2024,Kia,Sport-age,White,5 Axle,VIDEO,,,,,,,,,
AR 5281,TX,USA,PERSONAL,True,2021,Tesla, Model 3,Red,4 Axle,TAG,False,AGN656,TAG8100,HARD_CASE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Scott,"9108 Vega Island, Samanthashire, NJ 52223"
LO 7749,AZ,USA,COMMERCIAL,False,2022,Kia,Forte,Black,4 Axle,TAG,False,AGN886,TAG5365,LICENSE_PLATE_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Erin,"21249 Barber Locks, East Robert, NC 38662"
ID 4917,CO,USA,PERSONAL,True,2009,Volkswagen,Tiguan,White,2 Axle,TAG,False,AGN865,TAG2793,HARD_CASE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Amanda,"USCGC Wheeler, FPO AP 53472"
RH 3941,TN,USA,PERSONAL,False,2008,Tesla,Model X,Blue,2 Axle,VIDEO,,,,,,,,,
IL 1002,TN,USA,PERSONAL,False,2022,Toyota,Tacoma,Green,6-plus Axles,TAG,False,AGN975,TAG1281,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Melanie,"745 Perez Harbor, North Madison, TX 22726"
MI 8023,GA,USA,COMMERCIAL,False,2007,Volkswagen,Tiguan,Green,3 Axle,TAG,True,AGN545,TAG5432,LICENSE_PLATE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Emily,"8788 Meyer Manor Apt. 262, Collinsstad, IN 68809"
NE 313,PA,USA,PERSONAL,True,2019,Chevrolet,Silverado,Green,5 Axle,TAG,False,AGN437,TAG9990,INTEGRATED,MOUNTED,NO,HAND_TO_CUSTOMER,Erica,"9920 Garcia Tunnel, Lawrencemouth, RI 75002"
IL 5754,VA,USA,PERSONAL,True,2011,Kia,Optima,Blue,3 Axle,VIDEO,,,,,,,,,
FL 6574,TX,USA,COMMERCIAL,False,2001,Nissan,Pathfinder,Red,4 Axle,TAG,True,AGN488,TAG4824,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,Ivan,"55877 Jessica Walks Suite 344, Lindseyland, OH 04230"
MI 537,UT,USA,ELECTRIC,False,2022,Chevrolet,Corvette,Green,6-plus Axles,TAG,True,AGN644,TAG3713,LICENSE_PLATE_TAG,STICKER,NO,HAND_TO_CUSTOMER,Laura,"5364 Jackson Harbor Suite 611, Michaelmouth, MS 71888"
HA 2822,CA,USA,COMMERCIAL,False,2018,Chevrolet,Silverado,Green,3 Axle,TAG,True,AGN698,TAG8099,HARD_CASE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Ashley,"95860 Wells Parks, North Josephburgh, OH 52249"
RH 8544,OR,USA,ELECTRIC,True,2024,Subaru,Ascent,Red,6-plus Axles,VIDEO,,,,,,,,,
TE 7250,MD,USA,ELECTRIC,True,2001,Audi, Q7,White,6-plus Axles,TAG,False,AGN245,TAG2258,STICKER_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Lee,"233 Hicks Road Apt. 137, Claudiaberg, UT 14030"
PE 5472,PA,USA,PERSONAL,True,2001,Toyota,Tacoma,Black,3 Axle,TAG,True,AGN497,TAG1516,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Kara,"1156 Theresa Route Suite 806, South Stevenfurt, IA 23550"
SO 8178,AZ,USA,ELECTRIC,False,2020,Mercedes-Benz,C-Class,Red,2 Axle,TAG,False,AGN190,TAG1490,INTEGRATED,MOUNTED,YES,HAND_TO_CUSTOMER,Michael,"PSC 9466, Box 9932, APO AP 32106"
VI 3056,MD,USA,COMMERCIAL,True,2019,Audi, Q7,White,2 Axle,VIDEO,,,,,,,,,
MA 3392,NY,USA,PERSONAL,True,2011,Tesla,Model S,Red,3 Axle,TAG,False,AGN399,TAG7936,LICENSE_PLATE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Sandra,"317 Colleen Loaf, South Dannymouth, DC 58763"
NE 8386,AL,USA,ELECTRIC,True,2007,Ford,Mustang,Red,2 Axle,TAG,False,AGN531,TAG8341,HARD_CASE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Luis,"684 Joseph Harbor Suite 328, Alexisbury, AR 35438"
